Date,Price 10g (in INR),GGP (LBMA),USD to INR,Import duty,Inflation Rate (CPI),NIF
01-03-2023,56047.0,1833.5,82.42,15,5.66,17450.90039
02-03-2023,55915.0,1831.75,82.355,15,5.66,17321.90039
03-03-2023,55879.0,1845.55,81.713,15,5.66,17594.34961
04-03-2023,55879.0,1845.55,81.713,15,5.66,17594.34961
05-03-2023,55879.0,1845.55,81.713,15,5.66,17594.34961
06-03-2023,55752.0,1851.7,81.853,15,5.66,17711.44922
07-03-2023,55077.0,1843.05,82.075,15,5.66,17711.44922
08-03-2023,54955.0,1813.35,81.965,15,5.66,17754.40039
09-03-2023,55272.0,1817.5,82.019,15,5.66,17589.59961
10-03-2023,56101.0,1834.95,82.018,15,5.66,17412.90039
11-03-2023,56101.0,1834.95,82.018,15,5.66,17412.90039
12-03-2023,56101.0,1834.95,82.018,15,5.66,17412.90039
13-03-2023,57539.0,1882.1,82.418,15,5.66,17154.30078
14-03-2023,57417.0,1901.45,82.308,15,5.66,17043.30078
15-03-2023,58263.0,1906.0,82.717,15,5.66,16972.15039
16-03-2023,57942.0,1919.4,82.618,15,5.66,16985.59961
17-03-2023,59231.0,1930.9,82.529,15,5.66,17100.05078
18-03-2023,59231.0,1930.9,82.529,15,5.66,17100.05078
19-03-2023,59231.0,1930.9,82.529,15,5.66,17100.05078
20-03-2023,59424.0,1981.95,82.536,15,5.66,16988.40039
21-03-2023,58520.0,1965.95,82.681,15,5.66,17107.5
22-03-2023,58684.0,1941.85,82.525,15,5.66,17151.90039
23-03-2023,59436.0,1977.55,82.233,15,5.66,17076.90039
24-03-2023,59226.0,1996.15,82.233,15,5.66,16945.05078
25-03-2023,59226.0,1996.15,82.233,15,5.66,16945.05078
26-03-2023,59226.0,1996.15,82.233,15,5.66,16945.05078
27-03-2023,58496.0,1960.25,82.233,15,5.66,16985.69922
28-03-2023,58986.0,1949.85,82.233,15,5.66,16951.69922
29-03-2023,58997.0,1965.85,82.233,15,5.66,17080.69922
30-03-2023,59389.0,1968.1,82.233,15,5.66,17080.69922
31-03-2023,59314.0,1978.8,82.233,15,5.66,17359.75
01-04-2023,59314.0,1978.8,82.233,15,4.7,17359.75
02-04-2023,59314.0,1978.8,82.233,15,4.7,17359.75
03-04-2023,59600.0,1963.1,82.142,15,4.7,17398.05078
04-04-2023,60435.0,1982.25,82.113,15,4.7,17398.05078
05-04-2023,60366.0,2022.3,81.95,15,4.7,17557.05078
06-04-2023,60276.0,2017.25,81.832,15,4.7,17599.15039
07-04-2023,60276.0,2017.25,81.875,15,4.7,17599.15039
08-04-2023,60276.0,2017.25,81.875,15,4.7,17599.15039
09-04-2023,60276.0,2017.25,81.875,15,4.7,17599.15039
10-04-2023,59867.0,2017.25,81.984,15,4.7,17624.05078
11-04-2023,60281.0,2001.5,82.07,15,4.7,17722.30078
12-04-2023,60404.0,2008.9,81.961,15,4.7,17812.40039
13-04-2023,60987.0,2027.1,81.678,15,4.7,17828.0
14-04-2023,60145.0,2035.65,81.846,15,4.7,17828.0
15-04-2023,60145.0,2035.65,81.846,15,4.7,17828.0
16-04-2023,60145.0,2035.65,81.846,15,4.7,17828.0
17-04-2023,60051.0,2009.8,82.004,15,4.7,17706.84961
18-04-2023,60331.0,1999.3,82.108,15,4.7,17660.15039
19-04-2023,60172.0,1976.1,82.314,15,4.7,17618.75
20-04-2023,60389.0,1994.05,82.141,15,4.7,17624.44922
21-04-2023,59810.0,1986.1,82.04,15,4.7,17624.05078
22-04-2023,59810.0,1986.1,82.04,15,4.7,17624.05078
23-04-2023,59810.0,1986.1,82.04,15,4.7,17624.05078
24-04-2023,59928.0,1986.15,82.04,15,4.7,17743.40039
25-04-2023,60123.0,1990.2,82.04,15,4.7,17769.25
26-04-2023,59849.0,1999.05,82.04,15,4.7,17813.59961
